preferred_zone,preferred_entry_date,minimum_acceptable_group_size,results_status,awarded_preference,awarded_entry_date,awarded_entrance_code_name,awarded_group_size,processing_sequence,state,year,awarded,preferred_option,preferred_entry_date_month,preferred_entry_date_day
Core Enchantment Zone,06-17-2020,0.0,Awarded,3,05-20-2020,Colchuck Zone,5,,,2020,False,1,June,Wednesday
Eightmile/Caroline Zone,05-22-2020,0.0,Awarded,2,05-18-2020,Stuart  Zone,8,,,2020,False,1,May,Friday
Colchuck Zone,05-30-2020,0.0,Awarded,2,05-31-2020,Colchuck Zone,6,,,2020,False,1,May,Saturday
Stuart  Zone,08-08-2020,0.0,Awarded,3,09-19-2020,Stuart  Zone,6,,,2020,False,1,August,Saturday
Colchuck Zone,07-30-2020,0.0,Awarded,3,07-30-2020,Stuart  Zone,6,,,2020,False,1,July,Thursday
Colchuck Zone,07-25-2020,0.0,Awarded,2,05-21-2020,Colchuck Zone,6,,,2020,False,1,July,Saturday
Colchuck Zone,08-18-2020,0.0,Awarded,3,09-22-2020,Eightmile/Caroline Zone,2,,,2020,False,1,August,Tuesday
Core Enchantment Zone,08-13-2020,0.0,Awarded,3,05-27-2020,Snow Zone,7,,,2020,False,1,August,Thursday
Core Enchantment Zone,05-21-2020,0.0,Awarded,3,07-09-2020,Eightmile/Caroline Zone (stock),8,,,2020,False,1,May,Thursday
Core Enchantment Zone,08-21-2020,0.0,Awarded,3,08-24-2020,Snow Zone,8,,,2020,False,1,August,Friday
Core Enchantment Zone,08-10-2020,0.0,Awarded,3,09-21-2020,Colchuck Zone,8,,,2020,False,1,August,Monday
Core Enchantment Zone,08-27-2020,0.0,Awarded,3,08-27-2020,Eightmile/Caroline Zone,6,,,2020,False,1,August,Thursday
Snow Zone,08-28-2020,0.0,Awarded,2,08-27-2020,Snow Zone,4,,,2020,False,1,August,Friday
Colchuck Zone,09-20-2020,0.0,Awarded,3,09-20-2020,Snow Zone,4,,,2020,False,1,September,Sunday
Core Enchantment Zone,09-24-2020,0.0,Awarded,3,09-24-2020,Eightmile/Caroline Zone (stock),6,,,2020,False,1,September,Thursday
Core Enchantment Zone,08-28-2020,0.0,Awarded,2,08-01-2020,Snow Zone,4,,,2020,False,1,August,Friday
Colchuck Zone,09-04-2020,0.0,Awarded,3,09-04-2020,Snow Zone,4,,,2020,False,1,September,Friday
Core Enchantment Zone,08-17-2020,0.0,Awarded,3,09-21-2020,Core Enchantment Zone,3,,,2020,False,1,August,Monday
Core Enchantment Zone,06-26-2020,0.0,Awarded,3,10-23-2020,Stuart  Zone,4,,,2020,False,1,June,Friday
Core Enchantment Zone,07-06-2020,0.0,Awarded,3,09-28-2020,Snow Zone,6,,,2020,False,1,July,Monday
Core Enchantment Zone,09-20-2020,0.0,Awarded,2,10-04-2020,Snow Zone,6,,,2020,False,1,September,Sunday
Core Enchantment Zone,08-19-2020,0.0,Awarded,2,06-28-2020,Colchuck Zone,4,,,2020,False,1,August,Wednesday
Core Enchantment Zone,08-15-2020,0.0,Awarded,3,09-26-2020,Core Enchantment Zone,4,,,2020,False,1,August,Saturday
Core Enchantment Zone,09-06-2020,0.0,Awarded,3,08-29-2020,Stuart  Zone,3,,,2020,False,1,September,Sunday
Eightmile/Caroline Zone,08-17-2020,0.0,Awarded,3,09-30-2020,Stuart  Zone,4,,,2020,False,1,August,Monday
Core Enchantment Zone,06-12-2020,0.0,Awarded,2,06-12-2020,Snow Zone,6,,,2020,False,1,June,Friday
Core Enchantment Zone,07-10-2020,0.0,Awarded,3,06-21-2020,Stuart  Zone,6,,,2020,False,1,July,Friday
Stuart  Zone,07-24-2020,0.0,Awarded,3,10-02-2020,Stuart  Zone,6,,,2020,False,1,July,Friday
Core Enchantment Zone,07-19-2020,0.0,Awarded,3,10-04-2020,Eightmile/Caroline Zone,4,,,2020,False,1,July,Sunday
Core Enchantment Zone,07-21-2020,0.0,Awarded,2,10-19-2020,Core Enchantment Zone,6,,,2020,False,1,July,Tuesday
Core Enchantment Zone,08-16-2020,0.0,Awarded,2,08-18-2020,Eightmile/Caroline Zone,6,,,2020,False,1,August,Sunday
Core Enchantment Zone,06-20-2020,0.0,Awarded,3,08-29-2020,Stuart  Zone,2,,,2020,False,1,June,Saturday
Core Enchantment Zone,07-10-2020,0.0,Awarded,3,07-10-2020,Snow Zone,4,,,2020,False,1,July,Friday
Core Enchantment Zone,09-08-2020,0.0,Awarded,3,09-14-2020,Snow Zone,3,,,2020,False,1,September,Tuesday
Core Enchantment Zone,08-11-2020,0.0,Awarded,2,08-11-2020,Colchuck Zone,2,,,2020,False,1,August,Tuesday
Stuart  Zone,06-12-2020,0.0,Awarded,2,05-22-2020,Eightmile/Caroline Zone,6,,,2020,False,1,June,Friday
Colchuck Zone,08-19-2020,0.0,Awarded,3,06-01-2020,Colchuck Zone,8,,,2020,False,1,August,Wednesday
Core Enchantment Zone,06-03-2020,0.0,Awarded,3,06-01-2020,Eightmile/Caroline Zone,4,,,2020,False,1,June,Wednesday
Core Enchantment Zone,06-03-2020,0.0,Awarded,2,06-03-2020,Eightmile/Caroline Zone,4,,,2020,False,1,June,Wednesday
Snow Zone,06-08-2020,0.0,Awarded,3,10-07-2020,Stuart  Zone,4,,,2020,False,1,June,Monday
Eightmile/Caroline Zone,09-18-2020,0.0,Awarded,3,10-23-2020,Eightmile/Caroline Zone,5,,,2020,False,1,September,Friday
Colchuck Zone,07-15-2020,0.0,Awarded,3,07-06-2020,Stuart  Zone,4,,,2020,False,1,July,Wednesday
Core Enchantment Zone,07-11-2020,0.0,Awarded,2,07-11-2020,Colchuck Zone,8,,,2020,False,1,July,Saturday
Core Enchantment Zone,07-22-2020,0.0,Awarded,3,07-22-2020,Colchuck Zone,5,,,2020,False,1,July,Wednesday
Colchuck Zone,08-17-2020,0.0,Awarded,2,08-20-2020,Eightmile/Caroline Zone,3,,,2020,False,1,August,Monday
Core Enchantment Zone,07-17-2020,0.0,Awarded,2,07-02-2020,Snow Zone,6,,,2020,False,1,July,Friday
Core Enchantment Zone,07-25-2020,0.0,Awarded,2,07-31-2020,Core Enchantment Zone,6,,,2020,False,1,July,Saturday
Core Enchantment Zone,09-16-2020,0.0,Awarded,3,10-01-2020,Eightmile/Caroline Zone,8,,,2020,False,1,September,Wednesday
Core Enchantment Zone,10-01-2020,0.0,Awarded,2,10-08-2020,Core Enchantment Zone,6,,,2020,False,1,October,Thursday
