Maximum Requested Group Size 1,Preferred Entry Date 2,Preferred Division 2,Minimum Acceptable Group Size 2,Maximum Requested Group Size 2,Preferred Entry Date 3,Preferred Division 3,Minimum Acceptable Group Size 3,Maximum Requested Group Size 3,Results Status,Awarded Preference,Awarded Entrance Code/Name,Awarded Group Size,State
2,9/3/2023,Core Enchantment Zone,2,2,9/10/2023,Core Enchantment Zone,2,2,Unsuccessful,,,,WA
4,9/16/2023,Core Enchantment Zone,4,4,9/15/2023,Core Enchantment Zone,4,4,Unsuccessful,,,,WA
2,7/31/2023,Stuart  Zone,2,2,8/10/2023,Stuart  Zone,2,2,Unsuccessful,,,,OR
4,8/17/2023,Snow Zone,4,4,,,,,Unsuccessful,,,,WA
6,8/27/2023,Core Enchantment Zone,6,6,8/20/2023,Core Enchantment Zone,6,6,Unsuccessful,,,,WA
4,9/2/2023,Colchuck Zone,4,4,9/9/2023,Core Enchantment Zone,4,4,Unsuccessful,,,,WA
4,7/26/2023,Core Enchantment Zone,4,4,8/1/2023,Core Enchantment Zone,4,4,Awarded,1,Core Enchantment Zone,4,WA
4,8/23/2023,Core Enchantment Zone,4,4,8/30/2023,Core Enchantment Zone,4,4,Unsuccessful,,,,WA
3,8/9/2023,Colchuck Zone,3,3,8/9/2023,Stuart  Zone,3,3,Unsuccessful,,,,PA
4,5/21/2023,Core Enchantment Zone,4,4,6/15/2023,Core Enchantment Zone,4,4,Awarded,2,Core Enchantment Zone,4,OR
6,9/1/2023,Colchuck Zone,6,6,8/4/2023,Core Enchantment Zone,6,6,Unsuccessful,,,,WA
4,8/14/2023,Core Enchantment Zone,4,4,8/15/2023,Core Enchantment Zone,4,4,Unsuccessful,,,,CA
8,8/12/2023,Core Enchantment Zone,8,8,9/9/2023,Core Enchantment Zone,8,8,Unsuccessful,,,,WA
4,9/14/2023,Colchuck Zone,4,4,8/13/2023,Core Enchantment Zone,4,4,Unsuccessful,,,,CA
4,6/30/2023,Snow Zone,4,4,7/6/2023,Core Enchantment Zone,4,4,Unsuccessful,,,,WA
4,9/18/2023,Core Enchantment Zone,8,8,9/20/2023,Core Enchantment Zone,4,4,Unsuccessful,,,,CA
6,8/21/2023,Core Enchantment Zone,6,6,9/11/2023,Snow Zone,6,6,Unsuccessful,,,,WA
4,8/19/2023,Colchuck Zone,4,4,6/3/2023,Colchuck Zone,4,4,Unsuccessful,,,,WA
6,8/1/2023,Core Enchantment Zone,6,6,5/30/2023,Core Enchantment Zone,6,6,Unsuccessful,,,,OR
6,8/31/2023,Core Enchantment Zone,6,6,9/1/2023,Core Enchantment Zone,6,6,Unsuccessful,,,,OR
5,9/7/2023,Core Enchantment Zone,5,5,9/28/2023,Core Enchantment Zone,5,5,Unsuccessful,,,,WA
6,8/10/2023,Core Enchantment Zone,6,6,8/6/2023,Core Enchantment Zone,6,6,Unsuccessful,,,,WA
6,8/14/2023,Stuart  Zone,7,7,9/11/2023,Colchuck Zone,6,6,Unsuccessful,,,,OR
6,8/11/2023,Core Enchantment Zone,6,6,,,,,Unsuccessful,,,,WA
2,9/6/2023,Snow Zone,2,2,9/7/2023,Snow Zone,2,2,Unsuccessful,,,,WA
8,8/7/2023,Core Enchantment Zone,8,8,8/8/2023,Core Enchantment Zone,8,8,Unsuccessful,,,,WA
6,9/14/2023,Core Enchantment Zone,6,6,8/10/2023,Core Enchantment Zone,6,6,Unsuccessful,,,,WA
8,9/1/2023,Colchuck Zone,8,8,9/8/2023,Colchuck Zone,8,8,Unsuccessful,,,,WA
8,8/24/2023,Snow Zone,8,8,8/24/2023,Eightmile/Caroline Zone,8,8,Unsuccessful,,,,WA
2,7/9/2023,Core Enchantment Zone,2,2,7/23/2023,Core Enchantment Zone,2,2,Unsuccessful,,,,WA
4,8/22/2023,Core Enchantment Zone,4,4,7/25/2023,Core Enchantment Zone,4,4,Unsuccessful,,,,WA
6,6/30/2023,Core Enchantment Zone,6,6,8/25/2023,Colchuck Zone,6,6,Unsuccessful,,,,WA
4,8/12/2023,Stuart  Zone,4,4,8/19/2023,Stuart  Zone,4,4,Unsuccessful,,,,TX
8,8/7/2023,Core Enchantment Zone,8,8,8/21/2023,Core Enchantment Zone,8,8,Unsuccessful,,,,WA
8,8/8/2023,Core Enchantment Zone,8,8,8/1/2023,Core Enchantment Zone,8,8,Unsuccessful,,,,WA
2,7/21/2023,Core Enchantment Zone,2,2,7/28/2023,Core Enchantment Zone,2,2,Unsuccessful,,,,WA
8,8/17/2023,Stuart  Zone,8,8,8/17/2023,Core Enchantment Zone,8,8,Unsuccessful,,,,OR
4,8/24/2023,Core Enchantment Zone,4,4,7/26/2023,Core Enchantment Zone,4,4,Unsuccessful,,,,WA
2,9/22/2023,Core Enchantment Zone,2,2,9/29/2023,Core Enchantment Zone,2,2,Unsuccessful,,,,FL
8,9/1/2023,Core Enchantment Zone,8,8,9/29/2023,Colchuck Zone,8,8,Unsuccessful,,,,OR
8,8/27/2023,Core Enchantment Zone,8,8,8/28/2023,Core Enchantment Zone,8,8,Unsuccessful,,,,IL
4,8/11/2023,Core Enchantment Zone,4,4,7/28/2023,Core Enchantment Zone,4,4,Unsuccessful,,,,WA
4,7/14/2023,Eightmile/Caroline Zone,4,4,8/4/2023,Snow Zone,4,4,Unsuccessful,,,,WA
4,8/24/2023,Snow Zone,5,5,8/18/2023,Stuart  Zone,5,5,Unsuccessful,,,,WA
4,8/12/2023,Core Enchantment Zone,4,4,8/19/2023,Core Enchantment Zone,4,4,Unsuccessful,,,,WA
4,8/5/2023,Stuart  Zone,4,4,8/12/2023,Stuart  Zone,4,4,Unsuccessful,,,,WA
4,7/27/2023,Core Enchantment Zone,4,4,8/3/2023,Core Enchantment Zone,4,4,Unsuccessful,,,,WA
8,8/24/2023,Snow Zone,8,8,6/1/2023,Core Enchantment Zone,8,8,Unsuccessful,,,,WA
2,8/17/2023,Stuart  Zone,2,2,8/24/2023,Eightmile/Caroline Zone,2,2,Unsuccessful,,,,WA
8,10/21/2023,Core Enchantment Zone,8,8,9/30/2023,Core Enchantment Zone,8,8,Unsuccessful,,,,WA
4,8/17/2023,Snow Zone,6,6,8/15/2023,Core Enchantment Zone,4,4,Unsuccessful,,,,OR
8,7/19/2023,Core Enchantment Zone,8,8,8/31/2023,Core Enchantment Zone,8,8,Unsuccessful,,,,OR
6,8/3/2023,Core Enchantment Zone,6,6,6/15/2023,Core Enchantment Zone,6,6,Unsuccessful,,,,WA
4,8/20/2023,Core Enchantment Zone,4,4,9/10/2023,Core Enchantment Zone,4,4,Unsuccessful,,,,WA
4,8/20/2023,Core Enchantment Zone,4,4,8/14/2023,Core Enchantment Zone,4,4,Unsuccessful,,,,WA
6,7/21/2023,Colchuck Zone,6,6,8/17/2023,Stuart  Zone,6,6,Unsuccessful,,,,WA
4,8/18/2023,Eightmile/Caroline Zone,4,4,8/11/2023,Stuart  Zone,4,4,Unsuccessful,,,,WA
3,8/25/2023,Core Enchantment Zone,4,4,9/15/2023,Core Enchantment Zone,3,3,Unsuccessful,,,,OR
4,8/4/2023,Colchuck Zone,4,4,8/17/2023,Core Enchantment Zone,4,4,Unsuccessful,,,,WA
6,6/23/2023,Core Enchantment Zone,6,6,6/30/2023,Colchuck Zone,6,6,Unsuccessful,,,,WA
6,9/12/2023,Core Enchantment Zone,6,6,9/12/2023,Snow Zone,6,6,Unsuccessful,,,,MD
3,8/20/2023,Core Enchantment Zone,3,3,8/20/2023,Snow Zone,3,3,Unsuccessful,,,,OR
5,8/10/2023,Snow Zone,6,6,8/10/2023,Colchuck Zone,6,6,Unsuccessful,,,,WA
4,8/4/2023,Core Enchantment Zone,4,4,8/25/2023,Core Enchantment Zone,4,4,Unsuccessful,,,,WA
4,9/17/2023,Core Enchantment Zone,4,4,9/24/2023,Core Enchantment Zone,4,4,Awarded,3,Core Enchantment Zone,4,WA
6,8/11/2023,Core Enchantment Zone,6,6,8/25/2023,Core Enchantment Zone,6,6,Cancelled,,,,WA
7,7/14/2023,Stuart  Zone,7,7,7/21/2023,Stuart  Zone,7,7,Unsuccessful,,,,WA
6,7/27/2023,Stuart  Zone,6,6,7/27/2023,Snow Zone,6,6,Unsuccessful,,,,WA
2,7/21/2023,Core Enchantment Zone,2,2,7/14/2023,Core Enchantment Zone,4,4,Unsuccessful,,,,OR
5,9/24/2023,Core Enchantment Zone,5,5,9/25/2023,Colchuck Zone,5,5,Unsuccessful,,,,CA
4,8/24/2023,Core Enchantment Zone,4,4,7/27/2023,Core Enchantment Zone,4,4,Unsuccessful,,,,WA
4,7/1/2023,Eightmile/Caroline Zone,4,4,7/1/2023,Colchuck Zone,4,4,Unsuccessful,,,,WA
8,,,,,,,,,Unsuccessful,,,,WA
8,8/12/2023,Colchuck Zone,8,8,8/12/2023,Eightmile/Caroline Zone,8,8,Unsuccessful,,,,WA
4,7/28/2023,Core Enchantment Zone,4,4,8/4/2023,Core Enchantment Zone,4,4,Unsuccessful,,,,WA
4,7/14/2023,Core Enchantment Zone,4,4,7/12/2023,Core Enchantment Zone,4,4,Unsuccessful,,,,CA
4,9/17/2023,Core Enchantment Zone,2,2,9/10/2023,Colchuck Zone,4,4,Unsuccessful,,,,WA
6,7/31/2023,Core Enchantment Zone,6,6,8/1/2023,Core Enchantment Zone,6,6,Unsuccessful,,,,WA
4,9/19/2023,Core Enchantment Zone,4,4,9/26/2023,Core Enchantment Zone,4,4,Unsuccessful,,,,WA
2,6/9/2023,Core Enchantment Zone,2,2,6/23/2023,Core Enchantment Zone,2,2,Unsuccessful,,,,WA
8,8/10/2023,Stuart  Zone,8,8,8/17/2023,Colchuck Zone,8,8,Unsuccessful,,,,OR
8,6/28/2023,Core Enchantment Zone,8,8,6/29/2023,Core Enchantment Zone,8,8,Unsuccessful,,,,WA
2,8/23/2023,Core Enchantment Zone,2,2,8/23/2023,Colchuck Zone,2,2,Unsuccessful,,,,WA
4,5/26/2023,Snow Zone,6,6,6/3/2023,Eightmile/Caroline Zone,4,4,Unsuccessful,,,,WA
4,8/27/2023,Colchuck Zone,4,4,8/29/2023,Colchuck Zone,4,4,Unsuccessful,,,,UT
3,7/31/2023,Core Enchantment Zone,3,3,8/1/2023,Core Enchantment Zone,3,3,Unsuccessful,,,,WA
2,7/30/2023,Stuart  Zone,2,2,8/13/2023,Snow Zone,2,2,Unsuccessful,,,,WA
2,8/15/2023,Core Enchantment Zone,2,2,8/1/2023,Colchuck Zone,2,2,Unsuccessful,,,,WA
6,8/23/2023,Colchuck Zone,6,6,8/23/2023,Snow Zone,6,6,Unsuccessful,,,,WA
8,10/5/2023,Stuart  Zone,8,8,9/4/2023,Snow Zone,8,8,Unsuccessful,,,,WA
2,9/19/2023,Core Enchantment Zone,2,2,,,,,Unsuccessful,,,,OR
8,8/17/2023,Colchuck Zone,8,8,8/17/2023,Snow Zone,8,8,Unsuccessful,,,,WY
3,8/21/2023,Core Enchantment Zone,3,3,7/17/2023,Core Enchantment Zone,3,3,Unsuccessful,,,,WA
8,8/29/2023,Eightmile/Caroline Zone,8,8,8/29/2023,Core Enchantment Zone,8,8,Unsuccessful,,,,OR
6,9/29/2023,Core Enchantment Zone,6,6,9/22/2023,Core Enchantment Zone,6,6,Unsuccessful,,,,WA
4,10/5/2023,Core Enchantment Zone,4,4,10/12/2023,Core Enchantment Zone,4,4,Unsuccessful,,,,WA
2,7/14/2023,Core Enchantment Zone,2,2,7/14/2023,Colchuck Zone,2,2,Unsuccessful,,,,WA
3,9/26/2023,Core Enchantment Zone,2,2,8/22/2023,Colchuck Zone,3,3,Unsuccessful,,,,WA
4,9/5/2023,Core Enchantment Zone,4,4,8/28/2023,Snow Zone,4,4,Unsuccessful,,,,WA
8,7/21/2023,Core Enchantment Zone,8,8,7/26/2023,Core Enchantment Zone,8,8,Unsuccessful,,,,PA
2,9/27/2023,Snow Zone,2,2,10/2/2023,Stuart  Zone,2,2,Unsuccessful,,,,WA
4,8/17/2023,Core Enchantment Zone,4,4,8/24/2023,Core Enchantment Zone,4,4,Unsuccessful,,,,WA
4,8/10/2023,Core Enchantment Zone,4,4,8/12/2023,Core Enchantment Zone,4,4,Unsuccessful,,,,CA
8,8/19/2023,Stuart  Zone,8,8,8/24/2023,Stuart  Zone,8,8,Awarded,1,Stuart  Zone,8,WA
8,9/15/2023,Colchuck Zone,8,8,9/16/2023,Snow Zone,8,8,Unsuccessful,,,,WA
8,8/23/2023,Core Enchantment Zone,8,8,8/30/2023,Core Enchantment Zone,8,8,Unsuccessful,,,,WA
4,8/13/2023,Core Enchantment Zone,4,4,8/13/2023,Colchuck Zone,4,4,Unsuccessful,,,,WA
4,8/12/2023,Core Enchantment Zone,4,4,9/9/2023,Core Enchantment Zone,4,4,Unsuccessful,,,,WA
8,9/2/2023,Core Enchantment Zone,8,8,8/26/2023,Core Enchantment Zone,8,8,Unsuccessful,,,,MI
8,8/14/2023,Core Enchantment Zone,8,8,8/10/2023,Core Enchantment Zone,8,8,Unsuccessful,,,,WA
3,9/28/2023,Colchuck Zone,3,3,8/3/2023,Core Enchantment Zone,3,3,Unsuccessful,,,,WA
3,9/14/2023,Core Enchantment Zone,3,3,9/21/2023,Core Enchantment Zone,3,3,Unsuccessful,,,,WA
7,7/28/2023,Core Enchantment Zone,7,7,7/22/2023,Core Enchantment Zone,7,7,Unsuccessful,,,,WA
8,8/27/2023,Colchuck Zone,8,8,8/27/2023,Snow Zone,8,8,Unsuccessful,,,,WA
8,9/8/2023,Core Enchantment Zone,8,8,9/12/2023,Core Enchantment Zone,8,8,Unsuccessful,,,,WA
2,8/18/2023,Core Enchantment Zone,2,2,10/6/2023,Core Enchantment Zone,2,2,Unsuccessful,,,,OR
4,9/12/2023,Core Enchantment Zone,4,4,8/8/2023,Stuart  Zone,4,4,Unsuccessful,,,,OR
8,9/21/2023,Core Enchantment Zone,8,8,9/28/2023,Core Enchantment Zone,8,8,Unsuccessful,,,,WA
3,9/25/2023,Colchuck Zone,3,3,10/2/2023,Colchuck Zone,3,3,Unsuccessful,,,,WA
2,8/10/2023,Core Enchantment Zone,2,2,9/7/2023,Core Enchantment Zone,2,2,Awarded,1,Core Enchantment Zone,2,WA
4,8/30/2023,Colchuck Zone,4,4,9/6/2023,Snow Zone,4,4,Unsuccessful,,,,MA
5,9/11/2023,Core Enchantment Zone,5,5,7/31/2023,Core Enchantment Zone,5,5,Unsuccessful,,,,OR
4,7/5/2023,Core Enchantment Zone,4,4,7/6/2023,Core Enchantment Zone,4,4,Unsuccessful,,,,WA
2,9/13/2023,Core Enchantment Zone,2,2,9/27/2023,Core Enchantment Zone,2,2,Unsuccessful,,,,CO
6,8/11/2023,Core Enchantment Zone,6,6,8/18/2023,Snow Zone,6,6,Unsuccessful,,,,WA
4,7/13/2023,Core Enchantment Zone,3,3,8/3/2023,Core Enchantment Zone,2,2,Awarded,1,Core Enchantment Zone,4,WA
2,9/3/2023,Core Enchantment Zone,4,4,9/11/2023,Core Enchantment Zone,2,2,Unsuccessful,,,,WA
2,8/27/2023,Colchuck Zone,2,2,9/10/2023,Core Enchantment Zone,2,2,Unsuccessful,,,,WA
6,7/30/2023,Snow Zone,6,6,6/10/2023,Colchuck Zone,6,6,Unsuccessful,,,,CA
4,9/30/2023,Core Enchantment Zone,4,4,8/22/2023,Core Enchantment Zone,4,4,Unsuccessful,,,,WA
4,8/1/2023,Colchuck Zone,4,4,10/9/2023,Core Enchantment Zone,4,4,Unsuccessful,,,,WA
8,6/1/2023,Colchuck Zone,8,8,8/3/2023,Colchuck Zone,8,8,Awarded,1,Colchuck Zone,8,WA
2,9/6/2023,Snow Zone,2,2,6/28/2023,Snow Zone,2,2,Unsuccessful,,,,NC
2,8/7/2023,Colchuck Zone,2,2,7/14/2023,Colchuck Zone,2,2,Unsuccessful,,,,WA
2,8/21/2023,Core Enchantment Zone,2,2,8/28/2023,Colchuck Zone,2,2,Unsuccessful,,,,AZ
8,9/29/2023,Core Enchantment Zone,8,8,10/13/2023,Core Enchantment Zone,8,8,Unsuccessful,,,,OR
4,9/6/2023,Colchuck Zone,5,5,8/22/2023,Colchuck Zone,4,4,Unsuccessful,,,,CA
3,8/2/2023,Stuart  Zone,3,3,8/9/2023,Core Enchantment Zone,3,3,Unsuccessful,,,,WA
4,9/2/2023,Colchuck Zone,4,4,6/24/2023,Core Enchantment Zone,4,4,Unsuccessful,,,,WA
6,9/3/2023,Core Enchantment Zone,6,6,6/21/2023,Core Enchantment Zone,6,6,Unsuccessful,,,,WA
4,7/5/2023,Snow Zone,4,4,7/5/2023,Colchuck Zone,4,4,Awarded,2,Snow Zone,4,WA
2,8/4/2023,Snow Zone,2,2,7/28/2023,Core Enchantment Zone,2,2,Unsuccessful,,,,WA
4,7/19/2023,Eightmile/Caroline Zone,4,4,8/2/2023,Eightmile/Caroline Zone,4,4,Awarded,1,Eightmile/Caroline Zone,4,WA
5,8/1/2023,Core Enchantment Zone,5,5,7/25/2023,Core Enchantment Zone,5,5,Unsuccessful,,,,WA
5,6/30/2023,Colchuck Zone,5,5,7/21/2023,Core Enchantment Zone,5,5,Unsuccessful,,,,WA
6,9/13/2023,Core Enchantment Zone,6,6,9/20/2023,Core Enchantment Zone,6,6,Unsuccessful,,,,WA
4,9/12/2023,Core Enchantment Zone,6,6,9/19/2023,Snow Zone,6,6,Unsuccessful,,,,WA
8,9/21/2023,Stuart  Zone,8,8,9/21/2023,Snow Zone,8,8,Unsuccessful,,,,WA
4,7/27/2023,Core Enchantment Zone,4,4,8/3/2023,Core Enchantment Zone,4,4,Unsuccessful,,,,WA
4,9/28/2023,Core Enchantment Zone,4,4,9/25/2023,Core Enchantment Zone,4,4,Awarded,1,Core Enchantment Zone,4,WA
6,9/21/2023,Core Enchantment Zone,6,6,10/5/2023,Core Enchantment Zone,6,6,Unsuccessful,,,,OR
4,8/28/2023,Colchuck Zone,4,4,8/29/2023,Colchuck Zone,4,4,Unsuccessful,,,,WA
2,8/12/2023,Colchuck Zone,2,2,8/13/2023,Colchuck Zone,2,2,Unsuccessful,,,,CO
6,10/10/2023,Core Enchantment Zone,6,6,10/17/2023,Core Enchantment Zone,6,6,Unsuccessful,,,,WA
6,8/14/2023,Core Enchantment Zone,6,6,10/2/2023,Core Enchantment Zone,6,6,Unsuccessful,,,,WA
7,8/9/2023,Stuart  Zone,7,7,9/7/2023,Stuart  Zone,7,7,Unsuccessful,,,,WA
2,9/17/2023,Core Enchantment Zone,2,2,9/10/2023,Core Enchantment Zone,2,2,Unsuccessful,,,,CA
3,7/27/2023,Core Enchantment Zone,4,4,8/8/2023,Core Enchantment Zone,4,4,Awarded,1,Snow Zone,3,WA
2,7/7/2023,Colchuck Zone,2,2,6/30/2023,Core Enchantment Zone,2,2,Unsuccessful,,,,WA
5,6/10/2023,Core Enchantment Zone,5,5,6/3/2023,Core Enchantment Zone,5,5,Unsuccessful,,,,WA
4,8/3/2023,Core Enchantment Zone,4,4,8/5/2023,Core Enchantment Zone,4,4,Unsuccessful,,,,WA
4,9/16/2023,Core Enchantment Zone,4,4,10/7/2023,Core Enchantment Zone,4,4,Unsuccessful,,,,WA
3,7/26/2023,Core Enchantment Zone,3,3,8/29/2023,Core Enchantment Zone,3,3,Unsuccessful,,,,WA
8,8/22/2023,Core Enchantment Zone,8,8,8/22/2023,Colchuck Zone,8,8,Unsuccessful,,,,WA
6,7/27/2023,Core Enchantment Zone,6,6,9/1/2023,Core Enchantment Zone,8,8,Unsuccessful,,,,WA
8,8/4/2023,Core Enchantment Zone,8,8,8/11/2023,Core Enchantment Zone,8,8,Unsuccessful,,,,WA
6,9/20/2023,Snow Zone,8,8,9/13/2023,Snow Zone,8,8,Unsuccessful,,,,WA
3,7/28/2023,Eightmile/Caroline Zone,3,3,7/21/2023,Colchuck Zone,3,3,Unsuccessful,,,,WA
6,9/21/2023,Core Enchantment Zone,6,6,9/28/2023,Core Enchantment Zone,6,6,Unsuccessful,,,,WA
6,8/18/2023,Core Enchantment Zone,6,6,8/25/2023,Core Enchantment Zone,6,6,Unsuccessful,,,,WA
4,,,,,,,,,Unsuccessful,,,,WA
8,8/11/2023,Core Enchantment Zone,8,8,8/24/2023,Core Enchantment Zone,8,8,Unsuccessful,,,,OR
6,8/1/2023,Eightmile/Caroline Zone,6,6,6/27/2023,Eightmile/Caroline Zone,6,6,Unsuccessful,,,,WA
4,9/18/2023,Snow Zone,4,4,9/25/2023,Core Enchantment Zone,4,4,Unsuccessful,,,,WA
4,8/10/2023,Core Enchantment Zone,2,2,7/20/2023,Core Enchantment Zone,2,2,Unsuccessful,,,,WA
6,7/25/2023,Stuart  Zone,6,6,8/1/2023,Stuart  Zone,6,6,Unsuccessful,,,,WA
5,8/9/2023,Core Enchantment Zone,5,5,8/16/2023,Colchuck Zone,5,5,Unsuccessful,,,,WA
2,8/11/2023,Colchuck Zone,2,2,,,,,Unsuccessful,,,,NJ
4,8/10/2023,Snow Zone,4,4,8/17/2023,Snow Zone,4,4,Unsuccessful,,,,WA
4,9/27/2023,Snow Zone,4,4,10/18/2023,Colchuck Zone,4,4,Unsuccessful,,,,MI
4,6/18/2023,Stuart  Zone,4,4,6/11/2023,Eightmile/Caroline Zone,4,4,Unsuccessful,,,,WA
8,7/24/2023,Snow Zone,8,8,7/17/2023,Snow Zone,8,8,Awarded,2,Snow Zone,8,WA
8,7/15/2023,Core Enchantment Zone,8,8,7/29/2023,Core Enchantment Zone,8,8,Unsuccessful,,,,WA
6,9/27/2023,Core Enchantment Zone,6,6,9/28/2023,Core Enchantment Zone,6,6,Unsuccessful,,,,OR
4,8/14/2023,Colchuck Zone,4,4,8/16/2023,Core Enchantment Zone,4,4,Unsuccessful,,,,OR
4,8/25/2023,Colchuck Zone,4,4,8/25/2023,Core Enchantment Zone,4,4,Unsuccessful,,,,WA
4,7/25/2023,Core Enchantment Zone,4,4,7/25/2023,Core Enchantment Zone,4,4,Unsuccessful,,,,WA
6,9/15/2023,Core Enchantment Zone,6,6,9/8/2023,Core Enchantment Zone,6,6,Unsuccessful,,,,UT
2,8/20/2023,Core Enchantment Zone,2,2,9/9/2023,Core Enchantment Zone,2,2,Unsuccessful,,,,WI
2,7/26/2023,Core Enchantment Zone,2,2,7/28/2023,Core Enchantment Zone,2,2,Unsuccessful,,,,WA
2,9/2/2023,Core Enchantment Zone,2,2,9/2/2023,Colchuck Zone,2,2,Unsuccessful,,,,IL
4,10/1/2023,Snow Zone,4,4,10/8/2023,Colchuck Zone,4,4,Awarded,2,Snow Zone,4,WA
4,9/26/2023,Core Enchantment Zone,4,4,9/27/2023,Core Enchantment Zone,4,4,Unsuccessful,,,,WA
3,8/1/2023,Core Enchantment Zone,3,3,8/1/2023,Snow Zone,3,3,Unsuccessful,,,,MN
6,9/28/2023,Core Enchantment Zone,6,6,10/5/2023,Core Enchantment Zone,6,6,Unsuccessful,,,,ND
3,10/7/2023,Core Enchantment Zone,3,3,8/19/2023,Core Enchantment Zone,3,3,Unsuccessful,,,,WA
4,9/7/2023,Core Enchantment Zone,4,4,9/21/2023,Core Enchantment Zone,4,4,Unsuccessful,,,,WA
6,8/22/2023,Core Enchantment Zone,5,5,8/2/2023,Core Enchantment Zone,5,5,Unsuccessful,,,,OR
4,9/25/2023,Core Enchantment Zone,4,4,9/20/2023,Core Enchantment Zone,4,4,Unsuccessful,,,,WA
2,10/10/2023,Colchuck Zone,2,2,,,,,Unsuccessful,,,,NC
4,8/19/2023,Snow Zone,4,4,8/22/2023,Stuart  Zone,4,4,Unsuccessful,,,,WA
8,8/16/2023,Stuart  Zone,8,8,8/23/2023,Snow Zone,8,8,Unsuccessful,,,,WA
6,7/28/2023,Colchuck Zone,6,6,7/21/2023,Core Enchantment Zone,6,6,Unsuccessful,,,,OR
4,8/10/2023,Colchuck Zone,4,4,9/14/2023,Snow Zone,4,4,Unsuccessful,,,,WA
4,6/22/2023,Colchuck Zone,4,4,6/15/2023,Core Enchantment Zone,4,4,Unsuccessful,,,,WA
4,7/24/2023,Core Enchantment Zone,4,4,7/25/2023,Core Enchantment Zone,4,4,Cancelled,,,,TX
2,9/2/2023,Core Enchantment Zone,2,2,9/3/2023,Core Enchantment Zone,2,2,Unsuccessful,,,,OR
8,7/1/2023,Core Enchantment Zone,8,8,7/2/2023,Core Enchantment Zone,8,8,Unsuccessful,,,,WA
6,7/21/2023,Core Enchantment Zone,6,6,7/28/2023,Core Enchantment Zone,6,6,Awarded,3,Core Enchantment Zone,6,WA
3,8/8/2023,Colchuck Zone,3,3,8/15/2023,Core Enchantment Zone,3,3,Unsuccessful,,,,FL
2,10/11/2023,Snow Zone,2,2,9/27/2023,Core Enchantment Zone,2,2,Unsuccessful,,,,OR
4,8/13/2023,Colchuck Zone,4,4,8/14/2023,Core Enchantment Zone,4,4,Unsuccessful,,,,OR
2,7/27/2023,Core Enchantment Zone,2,2,8/3/2023,Core Enchantment Zone,2,2,Unsuccessful,,,,WA
6,7/21/2023,Colchuck Zone,6,6,7/14/2023,Colchuck Zone,6,6,Unsuccessful,,,,WA
2,8/10/2023,Stuart  Zone,2,2,10/19/2023,Core Enchantment Zone,2,2,Unsuccessful,,,,WA
6,9/9/2023,Core Enchantment Zone,6,6,10/13/2023,Core Enchantment Zone,6,6,Unsuccessful,,,,CA
8,8/4/2023,Snow Zone,8,8,8/18/2023,Snow Zone,8,8,Unsuccessful,,,,WA
6,6/26/2023,Colchuck Zone,6,6,9/1/2023,Core Enchantment Zone,6,6,Unsuccessful,,,,WA
4,6/19/2023,Core Enchantment Zone,4,4,6/21/2023,Core Enchantment Zone,4,4,Unsuccessful,,,,OR
6,7/20/2023,Core Enchantment Zone,6,6,8/24/2023,Core Enchantment Zone,6,6,Unsuccessful,,,,WA
8,6/21/2023,Colchuck Zone,8,8,6/28/2023,Colchuck Zone,8,8,Unsuccessful,,,,WA
8,7/15/2023,Core Enchantment Zone,8,8,7/29/2023,Core Enchantment Zone,8,8,Unsuccessful,,,,WA
4,8/14/2023,Core Enchantment Zone,4,4,7/31/2023,Core Enchantment Zone,2,2,Unsuccessful,,,,WA
8,9/2/2023,Core Enchantment Zone,8,8,8/18/2023,Core Enchantment Zone,8,8,Unsuccessful,,,,CA
2,8/18/2023,Stuart  Zone,2,2,8/25/2023,Stuart  Zone,2,2,Unsuccessful,,,,WA
6,8/9/2023,Core Enchantment Zone,6,6,9/6/2023,Core Enchantment Zone,6,6,Unsuccessful,,,,WA
8,7/13/2023,Stuart  Zone,8,8,7/13/2023,Snow Zone,8,8,Unsuccessful,,,,OR
4,8/25/2023,Colchuck Zone,4,4,8/25/2023,Core Enchantment Zone,4,4,Unsuccessful,,,,WA
8,7/23/2023,Core Enchantment Zone,8,8,8/6/2023,Core Enchantment Zone,8,8,Unsuccessful,,,,WA
5,9/22/2023,Colchuck Zone,5,5,9/22/2023,Colchuck Zone,5,5,Unsuccessful,,,,OR
3,8/3/2023,Core Enchantment Zone,3,3,8/10/2023,Snow Zone,3,3,Unsuccessful,,,,WA
6,7/10/2023,Core Enchantment Zone,6,6,9/18/2023,Core Enchantment Zone,6,6,Unsuccessful,,,,WA
2,8/19/2023,Stuart  Zone,2,2,9/30/2023,Stuart  Zone,2,2,Unsuccessful,,,,WA
2,8/3/2023,Snow Zone,2,2,8/17/2023,Core Enchantment Zone,2,2,Unsuccessful,,,,WA
6,8/11/2023,Core Enchantment Zone,6,6,8/12/2023,Core Enchantment Zone,6,6,Unsuccessful,,,,MD
8,6/19/2023,Colchuck Zone,8,8,9/16/2023,Stuart  Zone,8,8,Awarded,2,Colchuck Zone,8,OH
4,7/25/2023,Core Enchantment Zone,4,4,8/1/2023,Core Enchantment Zone,4,4,Unsuccessful,,,,WA
2,9/15/2023,Core Enchantment Zone,2,2,8/21/2023,Core Enchantment Zone,2,2,Unsuccessful,,,,WA
