Maximum Requested Group Size 1,Preferred Entry Date 2,Preferred Division 2,Minimum Acceptable Group Size 2,Maximum Requested Group Size 2,Preferred Entry Date 3,Preferred Division 3,Minimum Acceptable Group Size 3,Maximum Requested Group Size 3,Results Status,Awarded Preference,Awarded Entrance Code/Name,Awarded Group Size,State
2,8/19/2023,Core Enchantment Zone,2,2,8/26/2023,Core Enchantment Zone,2,2,Unsuccessful,,,,CA
6,8/22/2023,Core Enchantment Zone,6,6,8/23/2023,Core Enchantment Zone,6,6,Unsuccessful,,,,WA
8,9/15/2023,Core Enchantment Zone,8,8,9/29/2023,Colchuck Zone,6,6,Unsuccessful,,,,WA
2,7/18/2023,Core Enchantment Zone,2,2,8/22/2023,Core Enchantment Zone,2,2,Unsuccessful,,,,WA
6,8/29/2023,Stuart  Zone,4,4,9/3/2023,Snow Zone,6,6,Unsuccessful,,,,WA
8,8/12/2023,Core Enchantment Zone,8,8,7/22/2023,Core Enchantment Zone,8,8,Unsuccessful,,,,WA
2,8/7/2023,Colchuck Zone,2,2,8/7/2023,Snow Zone,2,2,Unsuccessful,,,,IL
6,8/2/2023,Colchuck Zone,8,8,9/12/2023,Core Enchantment Zone,6,6,Unsuccessful,,,,WA
8,9/4/2023,Core Enchantment Zone,8,8,9/11/2023,Core Enchantment Zone,8,8,Unsuccessful,,,,WA
8,8/4/2023,Core Enchantment Zone,8,8,7/21/2023,Core Enchantment Zone,8,8,Unsuccessful,,,,WA
8,7/14/2023,Core Enchantment Zone,8,8,7/15/2023,Core Enchantment Zone,8,8,Unsuccessful,,,,WA
6,9/28/2023,Core Enchantment Zone,6,6,9/22/2023,Core Enchantment Zone,6,6,Unsuccessful,,,,OR
8,7/7/2023,Core Enchantment Zone,8,8,8/18/2023,Core Enchantment Zone,8,8,Unsuccessful,,,,OR
2,6/25/2023,Colchuck Zone,2,2,6/26/2023,Colchuck Zone,2,2,Unsuccessful,,,,WA
4,7/6/2023,Core Enchantment Zone,4,4,9/1/2023,Core Enchantment Zone,4,4,Unsuccessful,,,,WA
5,9/1/2023,Snow Zone,5,5,9/1/2023,Colchuck Zone,5,5,Unsuccessful,,,,TN
5,8/5/2023,Eightmile/Caroline Zone,5,5,,,,,Unsuccessful,,,,WA
5,8/15/2023,Colchuck Zone,5,5,8/1/2023,Colchuck Zone,5,5,Unsuccessful,,,,WA
7,7/28/2023,Snow Zone,7,7,8/4/2023,Core Enchantment Zone,7,7,Unsuccessful,,,,WA
4,8/3/2023,Colchuck Zone,4,4,8/10/2023,Core Enchantment Zone,4,4,Awarded,2,Colchuck Zone,4,NY
4,8/5/2023,Core Enchantment Zone,4,4,7/29/2023,Core Enchantment Zone,4,4,Unsuccessful,,,,WA
4,9/11/2023,Core Enchantment Zone,4,4,9/18/2023,Core Enchantment Zone,4,4,Unsuccessful,,,,PA
2,7/9/2023,Core Enchantment Zone,4,4,7/16/2023,Core Enchantment Zone,2,2,Unsuccessful,,,,WA
4,9/12/2023,Snow Zone,4,4,9/2/2023,Snow Zone,4,4,Unsuccessful,,,,OR
2,8/22/2023,Core Enchantment Zone,2,2,8/8/2023,Core Enchantment Zone,2,2,Unsuccessful,,,,WA
6,7/21/2023,Core Enchantment Zone,6,6,8/18/2023,Core Enchantment Zone,6,6,Unsuccessful,,,,OR
5,8/27/2023,Core Enchantment Zone,5,5,9/3/2023,Colchuck Zone,5,5,Awarded,1,Core Enchantment Zone,5,OR
4,7/3/2023,Colchuck Zone,4,4,7/3/2023,Core Enchantment Zone,4,4,Unsuccessful,,,,WA
6,8/25/2023,Core Enchantment Zone,6,6,7/28/2023,Core Enchantment Zone,6,6,Unsuccessful,,,,WA
6,5/27/2023,Colchuck Zone,6,6,8/11/2023,Snow Zone,6,6,Unsuccessful,,,,WA
8,7/3/2023,Core Enchantment Zone,8,8,7/17/2023,Core Enchantment Zone,8,8,Unsuccessful,,,,WA
8,5/20/2023,Core Enchantment Zone,8,8,6/3/2023,Core Enchantment Zone,8,8,Unsuccessful,,,,WA
4,8/1/2023,Snow Zone,4,4,7/24/2023,Colchuck Zone,4,4,Unsuccessful,,,,CO
4,8/23/2023,Core Enchantment Zone,4,4,8/16/2023,Core Enchantment Zone,4,4,Unsuccessful,,,,WA
6,7/28/2023,Core Enchantment Zone,6,6,8/24/2023,Core Enchantment Zone,6,6,Unsuccessful,,,,WA
2,7/30/2023,Core Enchantment Zone,2,2,8/6/2023,Core Enchantment Zone,2,2,Unsuccessful,,,,WA
8,9/8/2023,Core Enchantment Zone,8,8,9/15/2023,Core Enchantment Zone,8,8,Unsuccessful,,,,WA
3,6/24/2023,Core Enchantment Zone,4,4,,,,,Unsuccessful,,,,BC
6,8/18/2023,Core Enchantment Zone,6,6,8/18/2023,Colchuck Zone,6,6,Unsuccessful,,,,WA
6,8/24/2023,Core Enchantment Zone,6,6,8/24/2023,Snow Zone,6,6,Unsuccessful,,,,OR
6,7/23/2023,Core Enchantment Zone,6,6,7/20/2023,Core Enchantment Zone,6,6,Unsuccessful,,,,WA
6,9/2/2023,Stuart  Zone,6,6,9/16/2023,Stuart  Zone,6,6,Awarded,1,Stuart  Zone,6,WA
4,8/8/2023,Snow Zone,4,4,8/22/2023,Snow Zone,4,4,Unsuccessful,,,,OR
2,8/1/2023,Snow Zone,2,2,8/7/2023,Snow Zone,2,2,Unsuccessful,,,,OR
6,9/21/2023,Core Enchantment Zone,5,5,9/14/2023,Colchuck Zone,6,6,Unsuccessful,,,,WA
6,9/2/2023,Core Enchantment Zone,6,6,9/3/2023,Core Enchantment Zone,6,6,Unsuccessful,,,,OR
8,9/28/2023,Core Enchantment Zone,8,8,9/24/2023,Colchuck Zone,8,8,Unsuccessful,,,,WA
8,9/21/2023,Colchuck Zone,8,8,9/27/2023,Colchuck Zone,8,8,Unsuccessful,,,,WA
8,8/15/2023,Snow Zone,8,8,7/27/2023,Stuart  Zone,8,8,Unsuccessful,,,,OR
2,9/5/2023,Core Enchantment Zone,2,2,9/6/2023,Core Enchantment Zone,2,2,Unsuccessful,,,,WA
8,8/10/2023,Snow Zone,8,8,8/1/2023,Stuart  Zone,8,8,Unsuccessful,,,,CO
2,9/14/2023,Core Enchantment Zone,2,2,8/31/2023,Core Enchantment Zone,4,4,Unsuccessful,,,,WA
3,7/18/2023,Core Enchantment Zone,3,3,7/19/2023,Core Enchantment Zone,3,3,Unsuccessful,,,,WA
2,7/5/2023,Core Enchantment Zone,2,2,6/14/2023,Colchuck Zone,2,2,Unsuccessful,,,,NJ
2,9/30/2023,Colchuck Zone,2,2,8/5/2023,Core Enchantment Zone,2,2,Unsuccessful,,,,WA
8,9/6/2023,Core Enchantment Zone,8,8,9/7/2023,Core Enchantment Zone,8,8,Unsuccessful,,,,WA
8,9/5/2023,Colchuck Zone,8,8,8/29/2023,Colchuck Zone,8,8,Unsuccessful,,,,WA
3,10/13/2023,Core Enchantment Zone,3,3,8/11/2023,Stuart  Zone,2,2,Unsuccessful,,,,OR
4,6/23/2023,Core Enchantment Zone,4,4,6/23/2023,Stuart  Zone,4,4,Unsuccessful,,,,OR
3,8/23/2023,Core Enchantment Zone,3,3,8/24/2023,Core Enchantment Zone,3,3,Unsuccessful,,,,WA
4,6/10/2023,Core Enchantment Zone,4,4,9/29/2023,Core Enchantment Zone,4,4,Cancelled,,,,CO
5,8/31/2023,Core Enchantment Zone,5,5,7/17/2023,Core Enchantment Zone,5,5,Unsuccessful,,,,WA
4,9/15/2023,Core Enchantment Zone,4,4,9/22/2023,Core Enchantment Zone,4,4,Unsuccessful,,,,BC
4,6/15/2023,Stuart  Zone,4,4,7/21/2023,Core Enchantment Zone,2,2,Unsuccessful,,,,WA
2,7/29/2023,Snow Zone,2,2,8/5/2023,Core Enchantment Zone,2,2,Unsuccessful,,,,WA
3,6/13/2023,Core Enchantment Zone,3,3,6/27/2023,Core Enchantment Zone,3,3,Unsuccessful,,,,CA
4,8/19/2023,Core Enchantment Zone,4,4,8/12/2023,Core Enchantment Zone,4,4,Unsuccessful,,,,WA
6,8/22/2023,Core Enchantment Zone,6,6,8/24/2023,Colchuck Zone,6,6,Unsuccessful,,,,WA
8,7/27/2023,Core Enchantment Zone,8,8,8/3/2023,Core Enchantment Zone,8,8,Unsuccessful,,,,WA
5,8/30/2023,Core Enchantment Zone,5,5,8/29/2023,Core Enchantment Zone,5,5,Unsuccessful,,,,WA
6,5/26/2023,Core Enchantment Zone,6,6,6/16/2023,Colchuck Zone,6,6,Unsuccessful,,,,WA
4,7/28/2023,Core Enchantment Zone,4,4,9/15/2023,Core Enchantment Zone,4,4,Unsuccessful,,,,WA
2,8/16/2023,Core Enchantment Zone,2,2,8/9/2023,Core Enchantment Zone,2,2,Unsuccessful,,,,OR
4,8/25/2023,Stuart  Zone,4,4,9/1/2023,Stuart  Zone,4,4,Unsuccessful,,,,WA
2,8/18/2023,Colchuck Zone,2,2,8/25/2023,Colchuck Zone,2,2,Unsuccessful,,,,WA
8,7/15/2023,Stuart  Zone,8,8,7/24/2023,Eightmile/Caroline Zone (stock),8,8,Unsuccessful,,,,WA
4,7/25/2023,Core Enchantment Zone,4,4,8/2/2023,Core Enchantment Zone,4,4,Unsuccessful,,,,WA
4,9/7/2023,Core Enchantment Zone,4,4,9/14/2023,Core Enchantment Zone,4,4,Unsuccessful,,,,CA
