Permit Type,Preferred Entry Date 1,Preferred Zone 1,Preferred Entry Date 2,Preferred Zone 2,Preferred Entry Date 3,Preferred Zone 3,Results Status,Awarded Preference,Awarded Entry Date,Awarded Entrance Code/Name,Awarded Group Size
Overnight Permit,7/9/2020,Core Enchantment Zone,8/27/2020,Core Enchantment Zone,8/20/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,7/11/2020,Core Enchantment Zone,7/18/2020,Core Enchantment Zone,7/17/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,7/26/2020,Core Enchantment Zone,8/2/2020,Snow Zone,8/9/2020,Colchuck Zone,Unsuccessful,,,,
Overnight Permit,7/14/2020,Core Enchantment Zone,7/21/2020,Core Enchantment Zone,7/28/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,6/20/2020,Core Enchantment Zone,7/18/2020,Colchuck Zone,7/25/2020,Eightmile/Caroline Zone,Awarded,3,7/25/2020,Eightmile/Caroline Zone,8
Overnight Permit,8/3/2020,Core Enchantment Zone,9/7/2020,Core Enchantment Zone,8/2/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,7/24/2020,Core Enchantment Zone,7/24/2020,Core Enchantment Zone,7/24/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,9/15/2020,Core Enchantment Zone,8/28/2020,Snow Zone,8/28/2020,Stuart  Zone,Unsuccessful,,,,
Overnight Permit,7/24/2020,Core Enchantment Zone,6/26/2020,Core Enchantment Zone,7/10/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,8/19/2020,Core Enchantment Zone,9/9/2020,Core Enchantment Zone,8/12/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,6/6/2020,Core Enchantment Zone,6/27/2020,Core Enchantment Zone,7/18/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,5/15/2020,Colchuck Zone,5/16/2020,Core Enchantment Zone,9/7/2020,Stuart Zone (stock),Unsuccessful,,,,
Overnight Permit,7/17/2020,Core Enchantment Zone,8/7/2020,Core Enchantment Zone,8/21/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,9/7/2020,Colchuck Zone,8/14/2020,Core Enchantment Zone,7/31/2020,Colchuck Zone,Unsuccessful,,,,
Overnight Permit,7/24/2020,Core Enchantment Zone,7/24/2020,Core Enchantment Zone,7/24/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,9/11/2020,Colchuck Zone,9/11/2020,Snow Zone,9/11/2020,Stuart Zone (stock),Unsuccessful,,,,
Overnight Permit,6/19/2020,Stuart  Zone,8/28/2020,Core Enchantment Zone,8/28/2020,Colchuck Zone,Unsuccessful,,,,
Overnight Permit,7/17/2020,Core Enchantment Zone,7/24/2020,Colchuck Zone,7/31/2020,Stuart  Zone,Unsuccessful,,,,
Overnight Permit,8/28/2020,Snow Zone,8/27/2020,Snow Zone,9/4/2020,Snow Zone,Unsuccessful,,,,
Overnight Permit,8/3/2020,Core Enchantment Zone,7/28/2020,Core Enchantment Zone,7/21/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,7/24/2020,Core Enchantment Zone,7/24/2020,Core Enchantment Zone,7/24/2020,Core Enchantment Zone,Unsuccessful,,,,
